series,model,feature,importance
EPD_ActualCost,RF,value_pct_change_lag_1,0.028752739642618246
EPD_ActualCost,RF,value_diff_lag_1,0.03773485281937468
EPD_ActualCost,RF,value_pct_change_lag_2,0.01601972673097104
EPD_ActualCost,RF,value_diff_lag_2,0.020213901611203598
EPD_ActualCost,RF,value_pct_change_lag_3,0.03772425217947767
EPD_ActualCost,RF,value_diff_lag_3,0.024350758611467873
EPD_ActualCost,RF,value_lag_6,0.08732525054235678
EPD_ActualCost,RF,value_pct_change_lag_6,0.054565877160094964
EPD_ActualCost,RF,value_diff_lag_6,0.022643007372322072
EPD_ActualCost,RF,value_pct_change_lag_12,0.031001885686547145
EPD_ActualCost,RF,value_diff_lag_12,0.042890244401577654
EPD_ActualCost,RF,value_mean_3,0.017165556945468754
EPD_ActualCost,RF,value_max_3,0.012756171093859119
EPD_ActualCost,RF,value_q75_3,0.019816021724062334
EPD_ActualCost,RF,value_vs_min_3,0.02720813557157847
EPD_ActualCost,RF,value_vs_mean_3,0.04491059007457681
EPD_ActualCost,RF,value_vs_min_6,0.04109927475301934
EPD_ActualCost,RF,value_vs_mean_6,0.018651874364299555
EPD_ActualCost,RF,value_vs_min_12,0.24670675062913724
EPD_ActualCost,RF,value_vs_mean_12,0.07202795210927647
EPD_ActualCost,RF,trend_slope_6,0.024685629606046387
EPD_ActualCost,RF,momentum_3,0.03420073101018916
EPD_ActualCost,RF,momentum_6,0.016818685354845632
EPD_ActualCost,RF,acceleration,0.015848838272477378
EPD_ActualCost,RF,quarter_cos,0.004881291733151684
EPD_ActualCost,GB,value_pct_change_lag_1,0.009800560215678586
EPD_ActualCost,GB,value_diff_lag_1,0.007409042064541208
EPD_ActualCost,GB,value_pct_change_lag_2,0.000968241453148722
EPD_ActualCost,GB,value_diff_lag_2,0.0005724031653543027
EPD_ActualCost,GB,value_pct_change_lag_3,0.005199583982722567
EPD_ActualCost,GB,value_diff_lag_3,0.12913049473356988
EPD_ActualCost,GB,value_lag_6,0.03313236139133964
EPD_ActualCost,GB,value_pct_change_lag_6,0.0005193720495383101
EPD_ActualCost,GB,value_diff_lag_6,7.408233918302967e-05
EPD_ActualCost,GB,value_pct_change_lag_12,0.01331625578270584
EPD_ActualCost,GB,value_diff_lag_12,0.05143025288686201
EPD_ActualCost,GB,value_mean_3,0.01372990734812875
EPD_ActualCost,GB,value_max_3,0.0003010491296792792
EPD_ActualCost,GB,value_q75_3,0.018241179443343965
EPD_ActualCost,GB,value_vs_min_3,0.030831992957926976
EPD_ActualCost,GB,value_vs_mean_3,0.05054095140725148
EPD_ActualCost,GB,value_vs_min_6,0.0009504813584054965
EPD_ActualCost,GB,value_vs_mean_6,0.0006510286806260464
EPD_ActualCost,GB,value_vs_min_12,0.6239144333720431
EPD_ActualCost,GB,value_vs_mean_12,0.0002062100979183218
EPD_ActualCost,GB,trend_slope_6,1.4595324852218433e-07
EPD_ActualCost,GB,momentum_3,0.002364952221188213
EPD_ActualCost,GB,momentum_6,0.0005212183510716627
EPD_ActualCost,GB,acceleration,0.006188956103092944
EPD_ActualCost,GB,quarter_cos,4.843511431211703e-06
EPD_ActualCost,ET,value_pct_change_lag_1,0.07383428296913529
EPD_ActualCost,ET,value_diff_lag_1,0.0538377012651678
EPD_ActualCost,ET,value_pct_change_lag_2,0.004398313408684982
EPD_ActualCost,ET,value_diff_lag_2,0.0004407566939239072
EPD_ActualCost,ET,value_pct_change_lag_3,0.035646846739840025
EPD_ActualCost,ET,value_diff_lag_3,0.025333040546108382
EPD_ActualCost,ET,value_lag_6,0.0018792183033978927
EPD_ActualCost,ET,value_pct_change_lag_6,0.0029191768923808093
EPD_ActualCost,ET,value_diff_lag_6,0.005345965538271946
EPD_ActualCost,ET,value_pct_change_lag_12,0.06182588296668793
EPD_ActualCost,ET,value_diff_lag_12,0.059482975390485
EPD_ActualCost,ET,value_mean_3,0.010583822576674971
EPD_ActualCost,ET,value_max_3,0.0020439208246008566
EPD_ActualCost,ET,value_q75_3,0.0010750328160143163
EPD_ActualCost,ET,value_vs_min_3,0.007343526262160387
EPD_ActualCost,ET,value_vs_mean_3,0.07952884566215683
EPD_ActualCost,ET,value_vs_min_6,0.12941825767339832
EPD_ActualCost,ET,value_vs_mean_6,0.0748091082042266
EPD_ActualCost,ET,value_vs_min_12,0.23973502339099279
EPD_ActualCost,ET,value_vs_mean_12,0.07181716412970325
EPD_ActualCost,ET,trend_slope_6,0.006385132518175353
EPD_ActualCost,ET,momentum_3,0.045907804633586645
EPD_ActualCost,ET,momentum_6,0.005701501326452773
EPD_ActualCost,ET,acceleration,0.0005635792386566807
EPD_ActualCost,ET,quarter_cos,0.00014312002911623254
PCA_NIC,RF,quarter,0.00031692736878014216
PCA_NIC,RF,value_pct_change_lag_1,0.058091595214037305
PCA_NIC,RF,value_diff_lag_1,0.06102869653700212
PCA_NIC,RF,value_pct_change_lag_2,0.021685650224889816
